40.04333333,38.45666667,38.28166667,38.735,39.19166667,39.30833333,39.855,38.875
43.17333333,42.19,41.80333333,42.48833333,43.13333333,42.29,43.09166667,41.885
42.55166667,41.63666667,41.09,42.03166667,42.135,41.36666667,42.26166667,41.86833333
Bistro, Chat, Conference, Sponza, LostEmpire, Prototype, SciFiCity, UnityChan
