60.5,69.6,71.6,70.78571429,69.48571429,70.71428571,60.97142857,72.05714286
46.55714286,63.88571429,64.4,62.8,63.2,60.55714286,41.87142857,62.15714286
37.8,63.58571429,61.94285714,55.61428571,53.94285714,56.12857143,44.08571429,60.94285714
34.11428571,67.65714286,71.14285714,62.92857143,42.05714286,60.15714286,50.61428571,73.44285714
Bistro, Chat, Conference, Sponza, LostEmpire, Prototype, SciFiCity, UnityChan
